DATE,fl_bp,fl_lf,fl_nonfarm,us_epr
3/1/55,,,980.2,54.8
4/1/55,,,968.2,55.6
5/1/55,,,940.9,56.4
6/1/55,,,932.7,57
7/1/55,,,919.9,57.8
8/1/55,,,931.6,58.1
9/1/55,,,947.5,57.9
10/1/55,,,972.2,58.3
11/1/55,,,1008.4,57.9
12/1/55,,,1055.3,57.4
1/1/56,,,1060.2,56.2
2/1/56,,,1071.2,55.9
3/1/56,,,1075.5,56.2
4/1/56,,,1059.7,56.9
5/1/56,,,1037.5,57.8
6/1/56,,,1027.3,58.3
7/1/56,,,1013.2,58.5
8/1/56,,,1022.1,58.6
9/1/56,,,1034.8,58.3
10/1/56,,,1063,58.4
11/1/56,,,1102.5,57.7
12/1/56,,,1153.6,57
1/1/57,,,1161.2,55.5
2/1/57,,,1172.1,56
3/1/57,,,1174.1,56.5
4/1/57,,,1161.7,56.7
5/1/57,,,1134.6,57.3
6/1/57,,,1123,58.1
7/1/57,,,1109.9,58.5
8/1/57,,,1113.6,57.8
9/1/57,,,1129.7,57.5
10/1/57,,,1148,57.8
11/1/57,,,1183,56.8
12/1/57,,,1221.6,56.3
1/1/58,,,1212.1,54.4
2/1/58,,,1206.2,54.1
3/1/58,,,1194.6,54.3
4/1/58,,,1179.8,54.8
5/1/58,,,1157.6,55.6
6/1/58,,,1147.5,56
7/1/58,,,1138.4,56.1
8/1/58,,,1148.6,56.2
9/1/58,,,1169.1,55.9
10/1/58,,,1191.5,56.5
11/1/58,,,1222.8,55.9
12/1/58,,,1258.4,55.3
1/1/59,,,1262.7,54.2
2/1/59,,,1274.8,54.1
3/1/59,,,1281.1,54.9
4/1/59,,,1276,55.9
5/1/59,,,1255.8,56.5
6/1/59,,,1246,57.2
7/1/59,,,1233.1,57.3
8/1/59,,,1239.9,57
9/1/59,,,1257,56.6
10/1/59,,,1281.5,56.9
11/1/59,,,1312.3,56
12/1/59,,,1356.4,56
1/1/60,,,1347.9,54.4
2/1/60,,,1353.8,54.7
3/1/60,,,1348.4,54.4
4/1/60,,,1346.4,56
5/1/60,,,1314.8,56.7
6/1/60,,,1295.4,57.4
7/1/60,,,1271.8,57.3
8/1/60,,,1273.1,57.1
9/1/60,,,1282.9,56.9
10/1/60,,,1303,56.6
11/1/60,,,1332.8,56.3
12/1/60,,,1376.9,55.3
1/1/61,,,1360.7,54
2/1/61,,,1362.5,54
3/1/61,,,1356,54.7
4/1/61,,,1338.9,54.8
5/1/61,,,1320,55.5
6/1/61,,,1306.3,56.5
7/1/61,,,1279.9,56.3
8/1/61,,,1286.3,56.3
9/1/61,,,1308.1,55.4
10/1/61,,,1329.9,56
11/1/61,,,1359.5,55.7
12/1/61,,,1398.6,55
1/1/62,,,1388.9,53.8
2/1/62,,,1400.9,54.3
3/1/62,,,1406.2,54.8
4/1/62,,,1396.7,55.1
5/1/62,,,1378.4,56
6/1/62,,,1372,56.6
7/1/62,,,1335.6,56.5
8/1/62,,,1341.7,56.6
9/1/62,,,1361.4,56
10/1/62,,,1393.8,56.1
11/1/62,,,1419.5,55.4
12/1/62,,,1458.2,54.9
1/1/63,,,1440.2,53.7
2/1/63,,,1445.8,53.9
3/1/63,,,1454.8,54.4
4/1/63,,,1446.6,55.1
5/1/63,,,1424.4,55.7
6/1/63,,,1421,56.3
7/1/63,,,1397.5,56.5
8/1/63,,,1408.1,56.3
9/1/63,,,1437.5,55.8
10/1/63,,,1462.8,56.1
11/1/63,,,1494.7,55.6
12/1/63,,,1534.6,55
1/1/64,,,1526.1,53.8
2/1/64,,,1534,54.3
3/1/64,,,1534.9,54.7
4/1/64,,,1523.1,55.6
5/1/64,,,1504.2,56.3
6/1/64,,,1500.2,56.6
7/1/64,,,1471.4,56.9
8/1/64,,,1483.2,56.7
9/1/64,,,1506.9,55.9
10/1/64,,,1538.4,56.1
11/1/64,,,1573.4,55.8
12/1/64,,,1622.1,55.4
1/1/65,,,1617.5,54.3
2/1/65,,,1631.1,54.6
3/1/65,,,1633.3,55.1
4/1/65,,,1618.8,55.7
5/1/65,,,1598.7,56.4
6/1/65,,,1585.8,57.1
7/1/65,,,1565.5,57.7
8/1/65,,,1572.6,57.4
9/1/65,,,1595.3,56.3
10/1/65,,,1628.9,56.8
11/1/65,,,1666.8,56.5
12/1/65,,,1715.2,56.4
1/1/66,,,1708.3,55.2
2/1/66,,,1722.8,55.4
3/1/66,,,1737.7,55.7
4/1/66,,,1723.9,56.4
5/1/66,,,1710.3,56.8
6/1/66,,,1711,57.8
7/1/66,,,1678.1,58.3
8/1/66,,,1679.1,58.2
9/1/66,,,1717.2,57.1
10/1/66,,,1736.5,57.4
11/1/66,,,1773.6,57.5
12/1/66,,,1822.6,57.2
1/1/67,,,1814.1,56
2/1/67,,,1822.7,56.2
3/1/67,,,1831.2,56.2
4/1/67,,,1818.3,56.8
5/1/67,,,1801.7,56.9
6/1/67,,,1792.8,58.1
7/1/67,,,1762,58.7
8/1/67,,,1771.1,58.5
9/1/67,,,1795.6,57.2
10/1/67,,,1818.8,57.6
11/1/67,,,1858.4,57.5
12/1/67,,,1910,57.5
1/1/68,,,1902.4,55.9
2/1/68,,,1917.1,56.5
3/1/68,,,1923.1,56.7
4/1/68,,,1922.6,57.1
5/1/68,,,1907.8,57.6
6/1/68,,,1913.9,58.6
7/1/68,,,1882.8,58.9
8/1/68,,,1896.7,58.5
9/1/68,,,1922.8,57.3
10/1/68,,,1950,57.6
11/1/68,,,1996.6,57.6
12/1/68,,,2052.1,57.6
1/1/69,,,2051.3,56.5
2/1/69,,,2064.9,57.1
3/1/69,,,2076.3,57.3
4/1/69,,,2065.8,57.6
5/1/69,,,2059.8,57.6
6/1/69,,,2060.3,58.8
7/1/69,,,2007.2,59.2
8/1/69,,,2016.9,59.2
9/1/69,,,2056.4,57.9
10/1/69,,,2086.3,58.3
11/1/69,,,2121.6,58.2
12/1/69,,,2171.8,58.2
1/1/70,,,2172.8,57
2/1/70,,,2182.2,57
3/1/70,,,2188,57.2
4/1/70,,,2176.7,57.5
5/1/70,,,2153.9,57.3
6/1/70,,,2144.7,58
7/1/70,,,2089.4,58.6
8/1/70,,,2086.1,58.2
9/1/70,,,2119.7,56.9
10/1/70,,,2134.4,57.3
11/1/70,,,2165.8,57
12/1/70,,,2211.4,56.8
1/1/71,,,2208.3,55.8
2/1/71,,,2227.7,55.7
3/1/71,,,2250.7,55.8
4/1/71,,,2254.6,56.2
5/1/71,,,2249.2,56.4
6/1/71,,,2256.5,56.9
7/1/71,,,2229.2,57.7
8/1/71,,,2240.4,57.5
9/1/71,,,2292.5,56.5
10/1/71,,,2318.7,56.9
11/1/71,,,2363.9,57
12/1/71,,,2423.4,56.8
1/1/72,,,2419.6,55.7
2/1/72,,,2442.5,55.8
3/1/72,,,2478.9,56.2
4/1/72,,,2492.7,56.5
5/1/72,,,2491.1,56.8
6/1/72,,,2503.9,57.7
7/1/72,,,2449.5,58.2
8/1/72,,,2466.3,58.1
9/1/72,,,2518.9,57
10/1/72,,,2579.6,57.4
11/1/72,,,2626.3,57.3
12/1/72,,,2688.2,57.4
1/1/73,,,2690,56
2/1/73,,,2721.7,56.5
3/1/73,,,2762.2,57
4/1/73,,,2760,57.3
5/1/73,,,2765.9,57.5
6/1/73,,,2785.5,58.7
7/1/73,,,2745.5,59.1
8/1/73,,,2765.8,58.7
9/1/73,,,2788,57.9
10/1/73,,,2813.6,58.6
11/1/73,,,2856.3,58.4
12/1/73,,,2888.4,58.2
1/1/74,,,2854.8,57
2/1/74,,,2870.4,57.1
3/1/74,,,2890.6,57.4
4/1/74,,,2901,57.5
5/1/74,,,2900.1,57.8
6/1/74,,,2896.5,58.7
7/1/74,,,2846.6,59.2
8/1/74,,,2836.6,58.8
9/1/74,,,2850.4,57.8
10/1/74,,,2837,58.1
11/1/74,,,2837.4,57.4
12/1/74,,,2844.5,56.9
1/1/75,,,2803.3,55.3
2/1/75,,,2794.2,55
3/1/75,,,2798.2,55.2
4/1/75,,,2782.6,55.5
5/1/75,,,2769.7,55.8
6/1/75,,,2755.4,56.5
7/1/75,,,2680.3,57.2
8/1/75,,,2680.6,57.1
9/1/75,,,2699,56.2
10/1/75,,,2701.6,56.6
11/1/75,,,2725.2,56.2
12/1/75,,,2766.1,56.1
1/1/76,,3515001,2765.5,55.3
2/1/76,,3532354,2782.7,55.4
3/1/76,,3543627,2808.9,55.9
4/1/76,,3556268,2798,56.4
5/1/76,,3559671,2784.2,56.8
6/1/76,,3655715,2775.8,57.5
7/1/76,,3702995,2738.9,58.2
8/1/76,,3688625,2741.6,57.9
9/1/76,,3623959,2766.3,56.9
10/1/76,,3630623,2777.6,57.4
11/1/76,,3609550,2811.9,57.2
12/1/76,,3609332,2860.4,57.1
1/1/77,,3555061,2844.7,55.9
2/1/77,,3571271,2875,56.1
3/1/77,,3611372,2912.1,56.7
4/1/77,,3632638,2921.8,57.2
5/1/77,,3667357,2912.6,57.7
6/1/77,,3776337,2917.1,58.6
7/1/77,,3798303,2901.1,59
8/1/77,,3808634,2912.9,58.9
9/1/77,,3786622,2944.9,58.1
10/1/77,,3815715,2966.8,58.6
11/1/77,,3830092,3018.1,58.7
12/1/77,,3837541,3073.8,58.7
1/1/78,,3798470,3077.5,57.7
2/1/78,,3810632,3125.2,57.7
3/1/78,,3845488,3173.5,58.1
4/1/78,,3873134,3163,58.8
5/1/78,,3907354,3162.4,59.1
6/1/78,,4033241,3190.9,60.3
7/1/78,,4058858,3134.2,60.4
8/1/78,,4052627,3152.6,60.3
9/1/78,,4028023,3181.9,59.6
10/1/78,,4055205,3218.1,60.1
11/1/78,,4039973,3265.9,60
12/1/78,,4046441,3321.9,59.8
1/1/79,,4010596,3307.1,58.8
2/1/79,,4037534,3327.1,59
3/1/79,,4071081,3375.9,59.3
4/1/79,,4050327,3375.7,59.4
5/1/79,,4073883,3369,59.6
6/1/79,,4177321,3385.7,60.6
7/1/79,,4239894,3316.6,61.1
8/1/79,,4211391,3335.5,60.6
9/1/79,,4203741,3376,60.2
10/1/79,,4205726,3421.4,60.4
11/1/79,,4162642,3470.2,60.2
12/1/79,,4184888,3514.4,60.1
1/1/80,,4137118,3515.7,58.9
2/1/80,,4155973,3563.1,58.9
3/1/80,,4176885,3590,59
4/1/80,,4180938,3574.9,59
5/1/80,,4219456,3567.3,59
6/1/80,,4297859,3564.7,59.5
7/1/80,,4364855,3513.4,59.9
8/1/80,,4359842,3524.1,59.6
9/1/80,,4349735,3560.9,59
10/1/80,,4365338,3604.6,59.3
11/1/80,,4347661,3639.5,59.2
12/1/80,,4336488,3695.6,59
1/1/81,,4326478,3676.5,58
2/1/81,,4346334,3719.4,58.1
3/1/81,,4422433,3757.1,58.6
4/1/81,,4472660,3760.9,59.2
5/1/81,,4540649,3754.2,59.4
6/1/81,,4570113,3758.9,59.6
7/1/81,,4646574,3687.9,60.3
8/1/81,,4641577,3674.1,59.9
9/1/81,,4587528,3725.7,58.8
10/1/81,,4616745,3746.5,59.1
11/1/81,,4595953,3765.2,58.8
12/1/81,,4562063,3805,58.2
1/1/82,,4517569,3771.9,57.1
2/1/82,,4561685,3789.3,57.1
3/1/82,,4607784,3819.1,57.4
4/1/82,,4629204,3801.9,57.5
5/1/82,,4727211,3776.9,58.1
6/1/82,,4779422,3763,58.5
7/1/82,,4854594,3691.4,58.9
8/1/82,,4861514,3688.3,58.6
9/1/82,,4834868,3713.8,57.8
10/1/82,,4813889,3738.6,57.7
11/1/82,,4796036,3768.9,57.4
12/1/82,,4769712,3819.4,57.1
1/1/83,,4720739,3788.6,56.1
2/1/83,,4725664,3816.1,56.1
3/1/83,,4758338,3856.2,56.4
4/1/83,,4774750,3881.3,56.9
5/1/83,,4835597,3882.9,57.2
6/1/83,,4992569,3894.6,58.5
7/1/83,,5071694,3855.6,59.2
8/1/83,,5090303,3852.3,59.1
9/1/83,,5063308,3939.3,58.6
10/1/83,,5034388,3978.5,58.7
11/1/83,,5037317,4029.3,58.9
12/1/83,,5024707,4090.2,58.7
1/1/84,,4958331,4091.8,57.7
2/1/84,,4994492,4125.3,58
3/1/84,,5030748,4185.1,58.5
4/1/84,,5062418,4185.8,58.9
5/1/84,,5156966,4196.7,59.7
6/1/84,,5243709,4208.6,60.6
7/1/84,,5296695,4146.8,60.9
8/1/84,,5261161,4156,60.4
9/1/84,,5244264,4223.9,59.8
10/1/84,,5238039,4253.5,60
11/1/84,,5223747,4312.8,60
12/1/84,,5229044,4364.2,59.8
1/1/85,,5194357,4336.6,58.8
2/1/85,,5212328,4365.7,59
3/1/85,,5279655,4415.4,59.5
4/1/85,,5278818,4409,59.7
5/1/85,,5326741,4415.5,60.1
6/1/85,,5367572,4410.6,60.5
7/1/85,,5437434,4337.5,61.1
8/1/85,,5426438,4350.6,60.9
9/1/85,,5415504,4400,60.4
10/1/85,,5404791,4441.5,60.7
11/1/85,,5384164,4495.3,60.5
12/1/85,,5384077,4542.4,60.3
1/1/86,,5368639,4512.2,59.5
2/1/86,,5372979,4547.3,59.3
3/1/86,,5446019,4589.5,59.8
4/1/86,,5463630,4585.4,60.1
5/1/86,,5548694,4592.8,60.5
6/1/86,,5658540,4583.5,61.4
7/1/86,,5725697,4521.6,61.9
8/1/86,,5723954,4543.2,61.7
9/1/86,,5699137,4600.3,60.9
10/1/86,,5703076,4650.5,61.2
11/1/86,,5698822,4707.1,61.1
12/1/86,,5682781,4759.5,60.9
1/1/87,,5648779,4727.3,60
2/1/87,,5679495,4771.7,60.1
3/1/87,,5731117,4822.3,60.5
4/1/87,,5748402,4831.2,60.9
5/1/87,,5858859,4836.5,61.6
6/1/87,,5897807,4844.1,62.1
7/1/87,,5984398,4788.3,62.7
8/1/87,,5991980,4790.2,62.6
9/1/87,,5933657,4863.6,61.7
10/1/87,,5957416,4915.7,62.1
11/1/87,,5943933,4965.9,62
12/1/87,,5942585,5020.4,61.9
1/1/88,11786,5910323,4948.8,61
2/1/88,12243,5928674,5008.4,61.1
3/1/88,15721,5948674,5061.4,61.3
4/1/88,13935,5982921,5044.6,61.8
5/1/88,14918,6019758,5049.1,62
6/1/88,19255,6104180,5057.3,63
7/1/88,13523,6158389,4979.4,63.4
8/1/88,15656,6155399,4988.9,63.2
9/1/88,14614,6111599,5086,62.4
10/1/88,13578,6123418,5121.6,62.8
11/1/88,13239,6118046,5209.2,62.8
12/1/88,12911,6090521,5244.3,62.6
1/1/89,13582,6079940,5166.9,61.8
2/1/89,13404,6082307,5226.5,61.9
3/1/89,14163,6128087,5279.3,62.3
4/1/89,14593,6147448,5246.5,62.5
5/1/89,17165,6214503,5256.2,62.9
6/1/89,17454,6303622,5267.4,63.7
7/1/89,11756,6354740,5171.3,64.1
8/1/89,13657,6350241,5190.4,63.8
9/1/89,12393,6292329,5272.6,62.9
10/1/89,12754,6305167,5286.6,63.2
11/1/89,11483,6308106,5352.5,63.2
12/1/89,11279,6286433,5414.2,62.9
1/1/90,14982,6306783,5313.9,62.1
2/1/90,9318,6329294,5372.1,62.2
3/1/90,12228,6386601,5426.9,62.5
4/1/90,12314,6387470,5393.8,62.6
5/1/90,11836,6479994,5405.4,63.1
6/1/90,12078,6541983,5397.1,63.7
7/1/90,11113,6588035,5279,63.9
8/1/90,10667,6569222,5286.4,63.4
9/1/90,8700,6522695,5337.6,62.7
10/1/90,8622,6513603,5348.2,62.8
11/1/90,8592,6477645,5388.5,62.4
12/1/90,6933,6466701,5410.4,62.2
1/1/91,7141,6391717,5281.6,60.9
2/1/91,7025,6416935,5302.8,60.9
3/1/91,7485,6451803,5335.2,61.2
4/1/91,8697,6491712,5296.5,61.7
5/1/91,9986,6524255,5297.8,61.6
6/1/91,9773,6620536,5273.8,62.4
7/1/91,9372,6656717,5172.4,62.7
8/1/91,8063,6604105,5186.4,62.1
9/1/91,7246,6600112,5239.6,61.8
10/1/91,7440,6573777,5251.2,61.8
11/1/91,6378,6535535,5311.5,61.6
12/1/91,8458,6521945,5336.8,61.2
1/1/92,7555,6513979,5256.3,60.4
2/1/92,6974,6529280,5291.6,60.4
3/1/92,9707,6576238,5369.5,60.8
4/1/92,8870,6584319,5335.9,61.2
5/1/92,8093,6653745,5342.2,61.5
6/1/92,9776,6745191,5332.1,62.2
7/1/92,9853,6816192,5245.6,62.6
8/1/92,8009,6778195,5236.1,62.2
9/1/92,8689,6727612,5324.3,61.5
10/1/92,8972,6658236,5377,61.6
11/1/92,7337,6655941,5440.7,61.5
12/1/92,8887,6646408,5495,61.4
1/1/93,7438,6580427,5412.9,60.3
2/1/93,8604,6618737,5486,60.6
3/1/93,9810,6655523,5536,60.9
4/1/93,10226,6638502,5565.4,61.1
5/1/93,10893,6761918,5558.4,61.8
6/1/93,11052,6842082,5558.6,62.4
7/1/93,10118,6896081,5470.6,62.8
8/1/93,10119,6878348,5469.7,62.6
9/1/93,11517,6795957,5553.8,61.8
10/1/93,8940,6807339,5603.1,62.1
11/1/93,9333,6798623,5656.6,62.1
12/1/93,12875,6804877,5721,62.1
1/1/94,10758,6792269,5635.3,61.2
2/1/94,9225,6822861,5702.4,61.5
3/1/94,11376,6835214,5765.6,61.6
4/1/94,10105,6843969,5776.4,61.9
5/1/94,10795,6950169,5779.1,62.6
6/1/94,11368,6980684,5783.7,63
7/1/94,11632,7032682,5685.6,63.2
8/1/94,13023,7049419,5690.7,63.2
9/1/94,11132,7015814,5805.1,62.8
10/1/94,10059,7029419,5813.4,63.2
11/1/94,9404,7024005,5924.2,63.2
12/1/94,9600,6993637,5956.7,63.1
1/1/95,9940,6927578,5859,62
2/1/95,8166,6948082,5932.9,62.3
3/1/95,10677,6987574,5996.1,62.6
4/1/95,9686,6994986,5963.1,62.7
5/1/95,10038,7024431,5977.8,62.8
6/1/95,11208,7078538,5979.6,63.4
7/1/95,10101,7158083,5854.3,63.7
8/1/95,10577,7119325,5869.4,63.3
9/1/95,13539,7101913,5986.4,62.9
10/1/95,9266,7109775,6003,63.2
11/1/95,9891,7070474,6090.8,63
12/1/95,9668,7033050,6158.6,62.7
1/1/96,9743,6964564,6032.1,61.7
2/1/96,9376,7020005,6108.1,62.1
3/1/96,9856,7081351,6198,62.5
4/1/96,11069,7057365,6137.1,62.7
5/1/96,11174,7154212,6156.6,63.1
6/1/96,10603,7194962,6146.5,63.7
7/1/96,10904,7289198,6039.1,64.1
8/1/96,11889,7254868,6067.6,63.8
9/1/96,11280,7260529,6176,63.4
10/1/96,9895,7278922,6206,63.8
11/1/96,9088,7250087,6287.7,63.6
12/1/96,8798,7233807,6354.6,63.4
1/1/97,9863,7180019,6262.3,62.5
2/1/97,9209,7198473,6318.3,62.7
3/1/97,12207,7294144,6377.8,63.3
4/1/97,11212,7282713,6378.1,63.5
5/1/97,11185,7373448,6395.1,63.9
6/1/97,11798,7413841,6389.4,64.3
7/1/97,12561,7488458,6291.9,64.7
8/1/97,10272,7474915,6315.9,64.4
9/1/97,11785,7438212,6432.9,63.8
10/1/97,12103,7416094,6458.9,64.1
11/1/97,8517,7429502,6521.5,64.2
12/1/97,9662,7427507,6598.1,64.1
1/1/98,10712,7373042,6504.6,63.1
2/1/98,9713,7402977,6564.2,63.3
3/1/98,12284,7462157,6614.3,63.6
4/1/98,11447,7436311,6584.1,63.9
5/1/98,11512,7518689,6594.2,64.2
6/1/98,12980,7552609,6604,64.5
7/1/98,13653,7607662,6504,64.7
8/1/98,14307,7572299,6506.9,64.3
9/1/98,11272,7590889,6616,64.1
10/1/98,13640,7581680,6676.8,64.3
11/1/98,12027,7574454,6744.1,64.3
12/1/98,11306,7584848,6817.8,64.3
1/1/99,13679,7550069,6678.4,63.5
2/1/99,12537,7569562,6757.8,63.6
3/1/99,14188,7603603,6810.7,63.9
4/1/99,13367,7578946,6794.1,64
5/1/99,11654,7658866,6801.1,64.3
6/1/99,14802,7699497,6814.7,64.7
7/1/99,14136,7734558,6680.8,64.9
8/1/99,15342,7702352,6691.4,64.5
9/1/99,12113,7688013,6791.2,64.1
10/1/99,13700,7691731,6847.9,64.5
11/1/99,10697,7695518,6930.3,64.5
12/1/99,14214,7713184,7013.2,64.5
1/1/00,11268,7718036,6904.1,63.8
2/1/00,11147,7758752,6966.4,64
3/1/00,12627,7800137,7045.9,64.2
4/1/00,10750,7809886,7029.9,64.6
5/1/00,13635,7825869,7063.7,64.4
6/1/00,15448,7885467,7014,64.9
7/1/00,11506,7895992,6948,64.8
8/1/00,13266,7922031,7054.1,64.5
9/1/00,12421,7906738,7089.2,64.2
10/1/00,12429,7903688,7102.4,64.4
11/1/00,12346,7898634,7181.1,64.4
12/1/00,11556,7957508,7246.4,64.5
1/1/01,12487,7956239,7082.3,63.7
2/1/01,11151,7979168,7153.8,63.8
3/1/01,16146,8044166,7215.8,64
4/1/01,12406,8013365,7180.2,63.9
5/1/01,16902,8041216,7184.6,63.9
6/1/01,13561,8065438,7120.8,64.1
7/1/01,14643,8112520,7031.4,64.2
8/1/01,16116,8057043,7132.3,63.5
9/1/01,12385,8112578,7133.1,63.4
10/1/01,11898,8063401,7123.9,63.4
11/1/01,13383,8029874,7172.1,63.1
12/1/01,13202,8049559,7213.2,63
1/1/02,15347,7973167,7074.3,62
2/1/02,15555,8062297,7130.4,62.5
3/1/02,14756,8069414,7192.1,62.5
4/1/02,13951,8053556,7171.4,62.6
5/1/02,14407,8111647,7183.1,62.9
6/1/02,16181,8128877,7101.5,63.1
7/1/02,16840,8161313,7021.9,63.2
8/1/02,16602,8175094,7127.9,63
9/1/02,12896,8219085,7139.6,63
10/1/02,17068,8179472,7169,63
11/1/02,13028,8111399,7237.6,62.5
12/1/02,13952,8127589,7295.6,62.4
1/1/03,14836,8111784,7161.7,61.8
2/1/03,15080,8136489,7217.3,62
3/1/03,15644,8155192,7272.7,62.1
4/1/03,16885,8160925,7247.4,62.3
5/1/03,19376,8196572,7251.7,62.3
6/1/03,17865,8253636,7169.4,62.7
7/1/03,17206,8243206,7101.8,62.6
8/1/03,18739,8238790,7201.8,62.4
9/1/03,16349,8248601,7222.7,62.1
10/1/03,19682,8258354,7268,62.4
11/1/03,13293,8266747,7315.9,62.4
12/1/03,18626,8258053,7387.9,62.3
1/1/04,17131,8268302,7316.5,61.6
2/1/04,19452,8296237,7389.1,61.8
3/1/04,19876,8334461,7455.1,61.9
4/1/04,21360,8338900,7491.6,62.1
